Tweet_Id,Datetime,Text,Likes,Retweets,Location,Cancel,Pedophilia,QAnon,Clean_tweets,Processed_tweets,Sentiment
1598449069118337024,2022-12-01 22:48:50+00:00,"This stuff is way out of my price range. 

I never heard of Balenciaga until this week.

Cudos to the destroyers. I’d do that.",1,0,"Albuquerque, NM",0,0,0,this stuff is way out of my price range i never heard of balenciaga until this week cudos to the destroyers i’d do that,stuff way price range never heard week cudos destroyer i’d,Other
1598449036641673216,2022-12-01 22:48:42+00:00,i am almost certain that whoever hid a Baal reference in a 2022 Balenciaga photoshoot was not there to name the founder of the company when he was born 127 years ago.,27,1,20 human years old,0,0,0,i am almost ceain that whoever hid a baal reference in a balenciaga photoshoot was not there to name the founder of the company when he was born years ago,almost ceain whoever hid baal reference photoshoot name founder company born year ago,Other
1598449009928343553,2022-12-01 22:48:36+00:00,@ShannonSharpe That's a terrible take Unc that's almost like you just defended Balenciaga,0,0,253 🚗 509,0,0,0, thats a terrible take unc thats almost like you just defended balenciaga,thats terrible take unc thats almost like defended,Other
1598449008460156931,2022-12-01 22:48:36+00:00,"@fancythis Ah yes, we should just leave the children with the Balenciaga apologist instead. Great plan.",0,0,Mars,0,0,0, ah yes we should just leave the children with the balenciaga apologist instead great plan,ah yes leave child apologist instead great plan,Other
1598449007529021471,2022-12-01 22:48:35+00:00,"Funny how celebrities are not rebuking Balenciaga. #BalenciagaGate 
I wonder why??🤔😩",4,0,New Hampshire ,0,0,0,funny how celebrities are not rebuking balenciaga balenciagagate i wonder why🤔😩,funny celebrity rebuking balenciagagate wonder why🤔😩,Other
1598449002366009347,2022-12-01 22:48:34+00:00,WOW …. you will make the effort to go on tv and talk about your wife but NOT ONE FUCKIN WORD ABOUT Balenciaga … we are literally in the twilight zone,0,0,Other,0,0,0,wow … you will make the effo to go on tv and talk about your wife but not one fuckin word about balenciaga … we are literally in the twilight zone,wow … make effo go tv talk wife one fuckin word … literally twilight zone,Other
1598449002105958400,2022-12-01 22:48:34+00:00,fuck u balenciaga,0,0,"Mexicali, Baja California",0,0,0,fuck u balenciaga,fuck u,Other
1598449001317429248,2022-12-01 22:48:34+00:00,@itsnatlydenise Is he wearing Balenciaga? https://t.co/nhOnr5wOKa,0,0,Other,0,0,0, is he wearing balenciaga httpstco,wearing httpstco,Other
1598449000784760832,2022-12-01 22:48:34+00:00,"@JOEBOTxyz Dude... Ye's wearing a Balenciaga mask. 
https://t.co/RQm0RfEQ4h",8,3,NorCal,0,0,0, dude yes wearing a balenciaga mask httpstco,dude yes wearing mask httpstco,Other
1598448946707419162,2022-12-01 22:48:21+00:00,Balenciaga’s Demna praised brand’s popularity month before scandal https://t.co/JkKjjFqd8D,0,0,London,0,0,0,balenciaga’s demna praised brand’s popularity month before scandal httpstco,balenciaga’s demna praised brand’s popularity month scandal httpstco,Other
1598448916726697984,2022-12-01 22:48:14+00:00,"@KimKardashian @SnoopDogg Hey Kim. What are your lawyers telling you to so about Balenciaga today? To post random things, because ""people will forget about it""? What's your mom's genius advice? ""Just show them more clothes""?",12,0,Other,0,0,0,  hey kim what are your lawyers telling you to so about balenciaga today to post random things because people will forget about it whats your moms genius advice just show them more clothes,hey kim lawyer telling today post random thing people forget whats mom genius advice show clothes,Other
1598448906463072281,2022-12-01 22:48:11+00:00,@zaynmalik you gonna call out balenciaga even if you dont believe in god no more...watch em ignore this one though,0,0,Other,0,0,0, you gonna call out balenciaga even if you dont believe in god no morewatch em ignore this one though,gonna call even dont believe god morewatch em ignore one though,Other
1598448894244962309,2022-12-01 22:48:08+00:00,@michaelmalice It's almost a race between Balenciaga and FTX on which collapses the cathedral first.,0,0,Indianapolis,0,0,0, its almost a race between balenciaga and ftx on which collapses the cathedral first,almost race ftx collapse cathedral first,Other
1598448893838217245,2022-12-01 22:48:08+00:00,BALENCIAGA: CONNECTING THE DOTS https://t.co/Mjm8Xgr0ZG via @YouTube,0,0,Other,0,0,0,balenciaga connecting the dots httpstco via ,connecting dot httpstco via,Other
1598448876058705920,2022-12-01 22:48:04+00:00,@YeatCharts bro is raw dogging the pedals because his entire shoe collection just balenciagas😭,22,0,⚉,0,0,0, bro is raw dogging the pedals because his entire shoe collection just balenciagas😭,bro raw dogging pedal entire shoe collection balenciagas😭,Other
1598448868802416644,2022-12-01 22:48:02+00:00,"Throwing away $5k worth of shoes is really hurting me, but 🖕🏽 @balenciaga",0,0,Balling Hard Like Ike,0,0,0,throwing away  woh of shoes is really huing me but 🖕🏽 ,throwing away woh shoe really huing 🖕🏽,Other
1598448815627030534,2022-12-01 22:47:50+00:00,People are seriously really talking about Kanye saying he loves Hitler more than Balenciaga's pedophilia advertising. WoW!,0,0,South Side,0,1,0,people are seriously really talking about kanye saying he loves hitler more than balenciagas pedophilia adveising wow,people seriously really talking kanye saying love hitler balenciaga pedophilia adveising wow,Other
1598448811168632832,2022-12-01 22:47:48+00:00,@malonepulse1 i was right it’s a balenciaga gimp mask,1,0,Yo Mommas House,0,0,0, i was right it’s a balenciaga gimp mask,right it’s gimp mask,Other
1598448807028707353,2022-12-01 22:47:47+00:00,@therealreal is still promoting Balenciaga in their ads. So @therealreal condones and promotes child pornography. #SpreadTheWord Spending money with @therealreal promotes pedophilia.,0,0,"Knoxville, TN",0,1,0, is still promoting balenciaga in their ads so  condones and promotes child pornography spreadtheword spending money with  promotes pedophilia,still promoting ad condones promotes child pornography spreadtheword spending money promotes pedophilia,Other
1598448801727094789,2022-12-01 22:47:46+00:00,Them balenciaga heels on sale tho 🌚🫢,0,0,"Virginia, USA",0,0,0,them balenciaga heels on sale tho 🌚🫢,heel sale tho 🌚🫢,Other
1598448786137047041,2022-12-01 22:47:43+00:00,DMX still yell at me sometime at night #balenciaga https://t.co/o8wQBxxurd,0,0,United States,0,0,0,dmx still yell at me sometime at night balenciaga httpstco,dmx still yell sometime night httpstco,Other
1598448772299870216,2022-12-01 22:47:39+00:00,@robsmithonline I'd burn that and have a Balenciaga bonfire party.,0,0,Other,0,0,0, id burn that and have a balenciaga bonfire pay,id burn bonfire pay,Other
1598448729056776192,2022-12-01 22:47:29+00:00,"@me_think_free Honestly, that ski mask he was wearing reminded me of the whole Balenciaga thing.",1,0,Other,0,0,0, honestly that ski mask he was wearing reminded me of the whole balenciaga thing,honestly ski mask wearing reminded whole thing,Other
1598448726208663553,2022-12-01 22:47:28+00:00,Ew I just realized I have cc shoes that say Balenciaga on them...,1,0,"Ohio, USA",0,0,0,ew i just realized i have cc shoes that say balenciaga on them,ew realized cc shoe say,Other
1598448717384024064,2022-12-01 22:47:26+00:00,These celebrities don’t have morals. They just want their check. #KimKardashian “They know what they did was wrong &amp; removed the pics so I’ll keep working w them” #Balenciaga #BalenciagaGate #BalenciagaGroomers,0,0,Miami,0,0,0,these celebrities don’t have morals they just want their check kimkardashian “they know what they did was wrong  removed the pics so i’ll keep working w them” balenciaga balenciagagate balenciagagroomers,celebrity don’t moral want check kimkardashian “they know wrong removed pic i’ll keep working w them” balenciagagate balenciagagroomers,Other
1598448699797131285,2022-12-01 22:47:22+00:00,Always knew Balenciaga  was on some shaddy shit,0,0,Other,0,0,0,always knew balenciaga was on some shaddy shit,always knew shaddy shit,Other
